p1,p2,p3,p4,info
"[29, 11]","[50, 12]","[49, 42]","[28, 42]",d
"[52, 12]","[73, 12]","[72, 43]","[51, 43]",X
"[75, 12]","[96, 12]","[95, 43]","[74, 43]",c
"[98, 12]","[119, 13]","[118, 44]","[97, 43]",W
"[121, 13]","[142, 13]","[141, 44]","[120, 44]",V
"[144, 13]","[165, 14]","[164, 44]","[143, 44]",K
"[167, 14]","[188, 14]","[187, 45]","[166, 45]",I
"[190, 14]","[211, 14]","[210, 45]","[189, 45]",6
"[213, 14]","[234, 15]","[233, 46]","[212, 45]",W
"[236, 15]","[257, 15]","[256, 46]","[235, 46]",w
"[259, 15]","[280, 16]","[279, 46]","[258, 46]",H
"[282, 16]","[303, 16]","[302, 47]","[281, 47]",b
"[51, 74]","[74, 76]","[70, 111]","[47, 108]",C
"[76, 76]","[99, 79]","[95, 113]","[72, 111]",N
"[101, 79]","[124, 81]","[120, 116]","[97, 113]",B
"[126, 82]","[148, 84]","[145, 118]","[122, 116]",W
"[150, 84]","[173, 87]","[170, 121]","[147, 119]",q
"[175, 87]","[198, 89]","[195, 124]","[172, 121]",E
"[200, 89]","[223, 92]","[219, 126]","[197, 124]",f
"[225, 92]","[248, 94]","[244, 129]","[221, 126]",Q
"[250, 95]","[273, 97]","[269, 131]","[246, 129]",s
"[275, 97]","[298, 100]","[294, 134]","[271, 132]",h
"[300, 100]","[323, 102]","[319, 137]","[296, 134]",w
"[533, 138]","[558, 137]","[559, 176]","[534, 177]",s
"[560, 137]","[585, 136]","[586, 175]","[561, 176]",4
"[587, 136]","[612, 135]","[613, 174]","[588, 175]",O
"[614, 135]","[639, 134]","[640, 173]","[615, 174]",9
"[641, 134]","[666, 133]","[667, 172]","[642, 173]",u
"[668, 133]","[693, 133]","[694, 171]","[669, 172]",z
"[695, 132]","[720, 132]","[721, 171]","[696, 171]",0
"[722, 132]","[747, 131]","[748, 170]","[723, 170]",e
"[749, 131]","[774, 130]","[775, 169]","[750, 170]",l
"[776, 130]","[801, 129]","[802, 168]","[777, 169]",B
"[803, 129]","[828, 128]","[829, 167]","[804, 168]",w
"[830, 128]","[855, 127]","[856, 166]","[831, 167]",T
