p1,p2,p3,p4,info
"[16, 53]","[37, 50]","[41, 80]","[20, 83]",A
"[39, 50]","[59, 47]","[64, 77]","[43, 80]",J
"[61, 47]","[82, 44]","[87, 74]","[66, 77]",g
"[84, 44]","[105, 41]","[109, 71]","[88, 74]",x
"[107, 41]","[128, 38]","[132, 68]","[111, 71]",g
"[130, 37]","[151, 34]","[155, 65]","[134, 67]",y
"[153, 34]","[173, 31]","[178, 61]","[157, 64]",p
"[175, 31]","[196, 28]","[200, 58]","[180, 61]",5
"[198, 28]","[219, 25]","[223, 55]","[202, 58]",K
"[221, 25]","[242, 22]","[246, 52]","[225, 55]",Z
"[244, 21]","[264, 19]","[269, 49]","[248, 52]",d
"[266, 18]","[287, 15]","[292, 46]","[271, 48]",7
"[289, 15]","[310, 12]","[314, 42]","[293, 45]",u
"[10, 123]","[28, 122]","[29, 150]","[11, 151]",e
"[30, 122]","[48, 121]","[49, 149]","[31, 150]",9
"[50, 121]","[68, 120]","[69, 148]","[51, 149]",y
"[70, 120]","[88, 119]","[89, 147]","[71, 148]",g
"[90, 119]","[108, 118]","[109, 146]","[91, 147]",0
"[110, 118]","[128, 117]","[129, 145]","[111, 146]",3
"[130, 117]","[148, 116]","[149, 144]","[131, 145]",F
"[150, 116]","[168, 115]","[169, 143]","[151, 144]",F
"[170, 115]","[188, 114]","[189, 142]","[171, 143]",x
"[190, 114]","[208, 113]","[209, 141]","[191, 142]",c
"[210, 113]","[228, 112]","[229, 140]","[211, 141]",v
"[230, 112]","[248, 111]","[249, 139]","[231, 140]",H
"[250, 111]","[268, 110]","[269, 138]","[251, 139]",S
"[270, 110]","[288, 109]","[289, 137]","[271, 138]",Q
"[290, 109]","[308, 108]","[309, 136]","[291, 137]",E
"[84, 177]","[99, 177]","[100, 200]","[85, 200]",T
"[101, 177]","[116, 177]","[117, 200]","[102, 200]",n
"[118, 177]","[133, 176]","[134, 199]","[119, 200]",V
"[135, 176]","[150, 176]","[151, 199]","[136, 199]",g
"[152, 176]","[167, 176]","[168, 199]","[153, 199]",t
"[549, 146]","[566, 145]","[568, 169]","[551, 171]",c
"[568, 144]","[584, 143]","[587, 167]","[570, 169]",b
"[586, 142]","[603, 141]","[606, 165]","[589, 167]",q
"[605, 140]","[622, 139]","[625, 163]","[608, 165]",b
"[624, 138]","[641, 137]","[644, 161]","[627, 163]",a
"[643, 137]","[660, 135]","[663, 159]","[646, 161]",o
"[662, 135]","[679, 133]","[682, 157]","[665, 159]",v
"[681, 133]","[698, 131]","[700, 155]","[684, 157]",d
"[968, 778]","[989, 778]","[988, 809]","[967, 809]",f
"[991, 778]","[1012, 779]","[1011, 810]","[990, 809]",O
"[1014, 779]","[1035, 779]","[1034, 810]","[1013, 810]",z
