p1,p2,p3,p4,info
"[23, 11]","[44, 11]","[43, 43]","[22, 43]",4
"[46, 11]","[67, 12]","[66, 44]","[45, 43]",D
"[69, 12]","[90, 12]","[89, 44]","[68, 44]",K
"[92, 12]","[113, 13]","[112, 44]","[91, 44]",q
"[115, 13]","[136, 13]","[135, 45]","[114, 45]",z
"[138, 13]","[159, 13]","[158, 45]","[137, 45]",8
"[161, 13]","[182, 14]","[181, 46]","[160, 45]",4
"[184, 14]","[205, 14]","[204, 46]","[183, 46]",h
"[207, 14]","[228, 15]","[227, 47]","[206, 46]",B
"[230, 15]","[251, 15]","[250, 47]","[229, 47]",P
"[253, 15]","[274, 15]","[273, 47]","[252, 47]",f
"[276, 15]","[297, 16]","[296, 48]","[275, 47]",T
"[299, 16]","[320, 16]","[319, 48]","[298, 48]",N
"[518, 129]","[540, 132]","[535, 165]","[514, 162]",u
"[542, 132]","[564, 135]","[559, 168]","[537, 165]",u
"[566, 135]","[588, 138]","[583, 171]","[561, 168]",M
"[590, 139]","[611, 142]","[607, 175]","[585, 172]",h
"[613, 142]","[635, 145]","[630, 178]","[609, 175]",3
"[637, 145]","[659, 148]","[654, 181]","[632, 178]",y
"[661, 149]","[683, 152]","[678, 185]","[656, 182]",R
"[685, 152]","[707, 155]","[702, 188]","[680, 185]",Z
"[709, 155]","[730, 158]","[726, 191]","[704, 188]",7
"[732, 159]","[754, 162]","[749, 195]","[728, 192]",G
"[756, 162]","[778, 165]","[773, 198]","[751, 195]",G
"[780, 165]","[802, 168]","[797, 201]","[775, 198]",U
"[804, 168]","[825, 171]","[821, 205]","[799, 201]",m
"[855, 777]","[875, 778]","[873, 808]","[853, 807]",A
"[877, 778]","[897, 780]","[895, 810]","[875, 808]",S
"[899, 780]","[919, 781]","[917, 811]","[897, 810]",l
"[921, 781]","[941, 783]","[939, 813]","[919, 811]",c
"[943, 783]","[963, 784]","[961, 814]","[941, 813]",N
"[965, 784]","[985, 786]","[982, 816]","[963, 814]",Q
"[987, 786]","[1007, 787]","[1004, 817]","[984, 816]",a
"[1009, 788]","[1028, 789]","[1026, 819]","[1006, 817]",b
"[1030, 789]","[1050, 790]","[1048, 820]","[1028, 819]",v
"[1052, 791]","[1072, 792]","[1070, 822]","[1050, 820]",L
"[1074, 792]","[1094, 793]","[1092, 823]","[1072, 822]",X
"[1096, 794]","[1116, 795]","[1114, 825]","[1094, 823]",A
"[1118, 795]","[1138, 797]","[1136, 826]","[1116, 825]",1
