p1,p2,p3,p4,info
"[85, 36]","[106, 34]","[109, 64]","[89, 66]",g
"[108, 33]","[129, 31]","[132, 62]","[111, 64]",H
"[131, 31]","[152, 29]","[155, 59]","[134, 62]",Z
"[154, 29]","[175, 26]","[178, 57]","[157, 59]",y
"[177, 26]","[198, 24]","[201, 55]","[180, 57]",I
"[200, 24]","[221, 22]","[224, 52]","[203, 54]",o
"[223, 22]","[243, 19]","[247, 50]","[226, 52]",o
"[679, 155]","[706, 152]","[711, 193]","[684, 196]",P
"[709, 152]","[736, 148]","[741, 189]","[714, 193]",D
"[851, 788]","[866, 787]","[867, 810]","[852, 811]",4
"[868, 787]","[883, 787]","[884, 809]","[869, 810]",D
"[885, 786]","[900, 786]","[901, 809]","[886, 809]",K
"[902, 786]","[917, 785]","[918, 808]","[903, 808]",q
"[919, 785]","[934, 784]","[935, 807]","[920, 808]",z
"[936, 784]","[951, 783]","[952, 806]","[937, 807]",8
"[953, 783]","[968, 782]","[969, 805]","[954, 806]",4
"[970, 782]","[985, 781]","[986, 804]","[971, 805]",h
"[987, 781]","[1002, 780]","[1003, 803]","[988, 804]",B
"[1004, 780]","[1019, 779]","[1020, 802]","[1005, 803]",P
"[1021, 779]","[1036, 779]","[1037, 801]","[1022, 802]",f
"[1038, 778]","[1053, 778]","[1054, 801]","[1039, 801]",T
"[1055, 778]","[1070, 777]","[1071, 800]","[1056, 800]",N
"[865, 835]","[885, 836]","[884, 866]","[864, 865]",S
"[887, 836]","[907, 836]","[906, 866]","[886, 866]",l
"[909, 837]","[929, 837]","[928, 867]","[908, 866]",c
"[931, 837]","[951, 838]","[950, 868]","[930, 867]",N
"[953, 838]","[973, 839]","[972, 869]","[952, 868]",Q
"[975, 839]","[995, 840]","[994, 869]","[974, 869]",a
"[997, 840]","[1017, 840]","[1016, 870]","[996, 870]",b
"[1019, 840]","[1039, 841]","[1038, 871]","[1018, 870]",v
"[1041, 841]","[1061, 842]","[1060, 872]","[1040, 871]",L
"[1063, 842]","[1083, 843]","[1082, 873]","[1062, 872]",X
"[1085, 843]","[1105, 843]","[1104, 873]","[1084, 873]",A
"[1107, 843]","[1127, 844]","[1126, 874]","[1106, 873]",1
