p1,p2,p3,p4,info
"[81, 34]","[100, 32]","[103, 61]","[84, 63]",g
"[102, 32]","[121, 30]","[124, 58]","[105, 60]",H
"[123, 30]","[142, 28]","[145, 56]","[126, 58]",Z
"[144, 28]","[163, 26]","[166, 54]","[147, 56]",y
"[165, 25]","[184, 23]","[187, 52]","[168, 54]",I
"[186, 23]","[205, 21]","[208, 50]","[189, 52]",o
"[207, 21]","[226, 19]","[229, 48]","[210, 50]",o
"[529, 154]","[548, 152]","[552, 182]","[532, 184]",D
"[550, 152]","[570, 150]","[573, 179]","[554, 181]",A
"[572, 150]","[592, 147]","[595, 177]","[575, 179]",u
"[594, 147]","[614, 145]","[617, 175]","[597, 177]",5
"[616, 145]","[636, 143]","[639, 172]","[619, 174]",S
"[638, 143]","[658, 141]","[661, 170]","[641, 172]",T
"[660, 140]","[680, 138]","[683, 168]","[663, 170]",Q
"[682, 138]","[702, 136]","[705, 166]","[685, 168]",r
"[704, 136]","[724, 134]","[727, 163]","[707, 165]",w
"[726, 134]","[745, 131]","[749, 161]","[729, 163]",j
"[747, 131]","[767, 129]","[770, 159]","[751, 161]",6
"[878, 780]","[899, 782]","[895, 813]","[874, 810]",Y
"[901, 783]","[922, 785]","[918, 815]","[897, 813]",c
"[924, 785]","[945, 788]","[941, 818]","[920, 816]",l
"[947, 788]","[968, 791]","[964, 821]","[943, 818]",j
"[970, 791]","[990, 794]","[987, 824]","[966, 821]",W
"[992, 794]","[1013, 796]","[1009, 827]","[989, 824]",M
"[1015, 797]","[1036, 799]","[1032, 829]","[1011, 827]",o
"[1038, 799]","[1059, 802]","[1055, 832]","[1034, 830]",L
"[1061, 802]","[1082, 805]","[1078, 835]","[1057, 832]",V
"[1084, 805]","[1105, 807]","[1101, 838]","[1080, 835]",v
"[1107, 808]","[1127, 810]","[1124, 841]","[1103, 838]",2
